timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697739089300,1550,Login-1,200,,Spike Test  4-29,text,true,,28096,440,22,42,http://localhost:8081/,1546,0,0
1697739087575,3286,Login,200,,Spike Test  4-27,text,true,,28508,1193,22,42,http://localhost:8081/,2082,0,0
1697739087575,2082,Login-0,302,,Spike Test  4-27,,true,,412,753,22,42,http://localhost:8081/authenticate,2082,0,0
1697739089657,1204,Login-1,200,,Spike Test  4-27,text,true,,28096,440,22,42,http://localhost:8081/,1201,0,0
1697739087504,3360,Login,200,,Spike Test  4-30,text,true,,28508,1157,22,42,http://localhost:8081/,2277,0,0
1697739087504,2277,Login-0,302,,Spike Test  4-30,,true,,412,717,22,42,http://localhost:8081/authenticate,2277,0,0
1697739089783,1081,Login-1,200,,Spike Test  4-30,text,true,,28096,440,22,42,http://localhost:8081/,1078,0,0
1697739087551,3715,Login,200,,Spike Test  4-26,text,true,,28508,1169,24,46,http://localhost:8081/,2090,0,0
1697739087551,2090,Login-0,302,,Spike Test  4-26,,true,,412,729,24,46,http://localhost:8081/authenticate,2090,0,0
1697739089641,1625,Login-1,200,,Spike Test  4-26,text,true,,28096,440,24,46,http://localhost:8081/,1621,0,0
1697739088298,2980,Login,200,,Load Test  2-36,text,true,,28508,1165,13,46,http://localhost:8081/,1339,0,0
1697739088298,1339,Login-0,302,,Load Test  2-36,,true,,412,725,13,46,http://localhost:8081/authenticate,1339,0,0
1697739089637,1641,Login-1,200,,Load Test  2-36,text,true,,28096,440,13,46,http://localhost:8081/,1638,0,0
1697739088020,3270,Login,200,,Load Test  2-38,text,true,,28508,1153,13,46,http://localhost:8081/,1531,0,0
1697739088020,1531,Login-0,302,,Load Test  2-38,,true,,412,713,13,46,http://localhost:8081/authenticate,1531,0,0
1697739089552,1738,Login-1,200,,Load Test  2-38,text,true,,28096,440,13,46,http://localhost:8081/,1736,0,0
1697739087553,3774,Login,200,,Endurance Test  3-29,text,true,,28508,1181,6,46,http://localhost:8081/,1730,0,0
